uttid,gt_text,asr_hypothesis
libri_00208,therefore don't talk to me about views and prospects,therefore don't talk to me about views and prospects
libri_00209,i take this as my answer and i leave the professor to bite his lips with impatience,i take this is my answer and i leave the professor to bite his lips with impatience
libri_00210,sunday august sixteenth,sunday august sixteenth
libri_00211,nothing new weather unchanged the wind freshens,nothing new weather unchanged the wind freshens
libri_00212,but there seemed no reason to fear,but there seemed no reason of fear
libri_00213,the shadow of the raft was clearly outlined upon the surface of the waves,the shadow of the raft was clearly outlined upon the surface of the waves
libri_00214,truly this sea is of infinite width,truly the sea is of infinite width
libri_00215,it must be as wide as the mediterranean or the atlantic and why not,it must be as wide as the mediterranean or the atlantic and why not
libri_00216,these thoughts agitated me all day and my imagination scarcely calmed down after several hours sleep,these thoughts agitated me all day and my imagination scarcely calmed down after several hours sleep
libri_00217,i shudder as i recall these monsters to my remembrance,i shudder as i recall these monsters to my remembrance
libri_00218,i saw at the hamburg museum the skeleton of one of these creatures thirty feet in length,i saw at the hambern museum the skeleton of one of these creatures thirty feet in length
libri_00219,i suppose professor liedenbrock was of my opinion too and even shared my fears for after having examined the pick his eyes traversed the ocean from side to side,i suppose professor liedenbrock was of my opinion too and even shared my fears for after having examined the pick his eyes traversed the ocean from side to side
libri_00220,tuesday august eighteenth,tuesday august eighteenth
libri_00221,during his watch i slept,during his watch i slept
libri_00222,two hours afterwards a terrible shock awoke me,two hours afterwards a terrible shock awoke me
libri_00223,the raft was heaved up on a watery mountain and pitched down again at a distance of twenty fathoms,the raft was heaved up on a watery mountain and pitched down again at a distance of twenty fathoms
libri_00224,there's a whale a whale cried the professor,there's a wail a wail cried the professor
libri_00225,flight was out of the question now the reptiles rose they wheeled around our little raft with a rapidity greater than that of express trains,flight was out of the question now the reptiles rose they wheeled around our little raft with a rapidity greater than that of express trains
libri_00226,two monsters only were creating all this commotion and before my eyes are two reptiles of the primitive world,two monsters only were creating all this commotion and before my eyes are two reptiles of the primitive world
libri_00227,i can distinguish the eye of the ichthyosaurus glowing like a red hot coal and as large as a man's head,i can distinguish the eye of the ictheuseurus glowing like a red hot co and as large as a man's head
libri_00228,its jaw is enormous and according to naturalists it is armed with no less than one hundred and eighty two teeth,its jaw is enormoust and according to naturalists it is armed with no less than one hundred and eighty two teeth
libri_00229,those huge creatures attacked each other with the greatest animosity,those huge creatures attacked each other with the greatest animosity
libri_00230,suddenly the ichthyosaurus and the plesiosaurus disappear below leaving a whirlpool eddying in the water,suddenly the ictiosaurus and the plesiosaurus disappear below leaving a whirlpool eddying in the water
libri_00231,as for the ichthyosaurus has he returned to his submarine cavern,as for the ithiosaurus has he returned to his submarine cavern
libri_00232,the roarings become lost in the distance,the roarings become lost in the distance
libri_00233,the weather if we may use that term will change before long,the weather if we may use the term will change before long
libri_00234,the atmosphere is charged with vapours pervaded with the electricity generated by the evaporation of saline waters,the atmosphere is charged with vapors pervaded with the electricity generated by the evaporation of sailing waters
libri_00235,the electric light can scarcely penetrate through the dense curtain which has dropped over the theatre on which the battle of the elements is about to be waged,the electric light can scarcely penetrate to the dense curtain which is dropped over the theatre on which the battle of the elements is about to be waged
libri_00236,the air is heavy the sea is calm,the air is heavy the sea is calm
libri_00237,from time to time a fleecy tuft of mist with yet some gleaming light left upon it drops down upon the dense floor of grey and loses itself in the opaque and impenetrable mass,from time to time a fleecy tuft of miss with yet some gleaming light left upon it drops down upon the dense floor of grey and loses itself in the opaque and impenetrable mass
libri_00238,the atmosphere is evidently charged and surcharged with electricity,the atmosphere is evidently charged and surcharged with electricity
libri_00239,the wind never lulls but to acquire increased strength the vast bank of heavy clouds is a huge reservoir of fearful windy gusts and rushing storms,the wind never lulls but to acquire increase strength the vast bank of heavy clouds is a huge reservoir of fearful windy gusts and rushing storms
libri_00240,there's a heavy storm coming on i cried pointing towards the horizon,there's a heavy storm coming on i cried pointing towards the horizon
libri_00241,those clouds seem as if they were going to crush the sea,those clouds seem as if they were going to crush the sea
libri_00242,on the mast already i see the light play of a lambent saint elmo's fire the outstretched sail catches not a breath of wind and hangs like a sheet of lead,on the mast already i see the light play of a lammon at saint ele's fire the outstretched sail catches not a breath of wind and hangs like a sheet of lead
libri_00243,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of the tempest may capsize us in a moment,but if we have now ceased to advance why do we yet leave that sail loose which at the first shock of a tempest may capsize us in a moment
libri_00244,that will be safest no no never,that will be the safest no no never
libri_00245,the piled up vapours condense into water and the air put into violent action to supply the vacuum left by the condensation of the mists rouses itself into a whirlwind,the piled up vapors condensed into water and the air put into violent action to supply the vacuum left by the condensation of the mist rouses itself into a whirlwind
libri_00246,hans stirs not,hon stars not
libri_00247,from the under surface of the clouds there are continual emissions of lurid light electric matter is in continual evolution from their component molecules the gaseous elements of the air need to be slaked with moisture for innumerable columns of water rush upwards into the air and fall back again in white foam,from the under surface of the clouds there are continual emissions of lurid light electric matter is in continual evolution from their component molecules the gaceous elements of the air need to be slaked with moisture for innumerable columns of water rush upwards into the air and fall back again in white foam
libri_00248,i refer to the thermometer it indicates the figure is obliterated,i refer to the thermometer it indicates the figure is obliterated
libri_00249,is the atmospheric condition having once reached this density to become final,is the atmospheric condition having once reached its density to become final
libri_00250,the raft bears on still to the south east,the raft bears on still to the southeast
libri_00251,at noon the violence of the storm redoubles,at noon the violence of the storm redoubles
libri_00252,each of us is lashed to some part of the raft,each of us is lashed to some part of the raft
libri_00253,the waves rise above our heads,the waves rise above our heads
libri_00254,they seem to be we are lost but i am not sure,they seem to be we are lost but i am not sure
libri_00255,he nods his consent,he nods his consent
libri_00256,the fireball half of it white half azure blue and the size of a ten inch shell moved slowly about the raft but revolving on its own axis with astonishing velocity as if whipped round by the force of the whirlwind,the fireball half of it wide half azure blue and the size of a ten inch shell moved slowly about the raft but revolving on its own axis with astonishing velocity as if whipped round by the force of the whirlwind
libri_00257,here it comes there it glides now it is up the ragged stump of the mast thence it lightly leaps on the provision bag descends with a light bound and just skims the powder magazine horrible,here it comes there it glides now it is up the ragged stump of the mast thence it lightly leaps on the provision bag descends with a light bound and just skims the powder magazine horrible
libri_00258,we shall be blown up but no the dazzling disk of mysterious light nimbly leaps aside it approaches hans who fixes his blue eye upon it steadily it threatens the head of my uncle who falls upon his knees with his head down to avoid it,we shall be blown up but no the dazzling disk of mysterious light nimbly leaps aside it approaches hans who fixes his blue eye upon it steadily it threatens the head of my uncle who falls upon his knees with his head down to avoid it
libri_00259,a suffocating smell of nitrogen fills the air it enters the throat it fills the lungs,a suffocating smell of nitrogen fills the air it enters the throat it fills the lungs
libri_00260,we suffer stifling pains,we suffer stifling pains
libri_00261,the bogus legislature numbered thirty six members,the bogus legislature numbered thirty six members
libri_00262,this was at the march election eighteen fifty five,this was at the march election eighteen fifty five
libri_00263,that summer's emigration however being mainly from the free states greatly changed the relative strength of the two parties,that summer's emigration however being mainly from the free states greatly changed the relative strengths of the two parties
libri_00264,for general service therefore requiring no special effort the numerical strength of the factions was about equal while on extraordinary occasions the two thousand border ruffian reserve lying a little farther back from the state line could at any time easily turn the scale,for general service therefore requiring no special effort the numerical strength of the factions was about equal while on extraordinary occasions the two thousand border ruffian reserve lying a little farther back from the state line could at any time easily turn the scale
libri_00265,the free state men had only their convictions their intelligence their courage and the moral support of the north the conspiracy had its secret combination the territorial officials the legislature the bogus laws the courts the militia officers the president and the army,the free state men had only their convictions their intelligence their courage and the moral support of the north the conspiracy had its secret combination the territorial officials the legislature the vogus laws the courts the militia officers the president and the army
libri_00266,this was a formidable array of advantages slavery was playing with loaded dice,this was a formidable array of advantages slavery was playing with loaded dice
libri_00267,coming by way of the missouri river towns he fell first among border ruffian companionship and influences and perhaps having his inclinations already molded by his washington instructions his early impressions were decidedly adverse to the free state cause,common by way of the missouri river towns he fell first among border ruffian companionship and influences and perhaps having his inclinations already moulded by his washington instructions his early impressions were decidedly adverse to the free state cause
libri_00268,his reception speech at westport in which he maintained the legality of the legislature and his determination to enforce their laws delighted his pro slavery auditors,his reception speech at westport in which he maintained the legality of the legislature and his determination to enforce their laws delighted his pro slavery auditors
libri_00269,all the territorial dignitaries were present governor shannon presided john calhoun the surveyor general made the principal speech a denunciation of the abolitionists supporting the topeka movement chief justice lecompte dignified the occasion with approving remarks,all the territorial dignitaries were present governor shannan presided john calhoun the surveyor general made the principal speech a denunciation of the abolitionist supporting the topica movement chief justice lecomt dignified the occasion with approving remarks
libri_00270,all dissent all non compliance all hesitation all mere silence even were in their stronghold towns like leavenworth branded as abolitionism declared to be hostility to the public welfare and punished with proscription personal violence expulsion and frequently death,all dessent all noncompliance all hesitation all mere silence even were in their stronghold towns like levenworth branded as abolitionism declared to be hostility to the public welfare and punished with proscription personal violence expulsion and frequently death
libri_00271,of the lynchings the mobs and the murders it would be impossible except in a very extended work to note the frequent and atrocious details,of the lynchings the mobs and the murders it would be impossible except in a very extended work to note the frequent and atrocious details
libri_00272,the present chapters can only touch upon the more salient movements of the civil war in kansas which happily were not sanguinary if however the individual and more isolated cases of bloodshed could be described they would show a startling aggregate of barbarity and loss of life for opinion's sake,the present chapters can only touch upon the more salient movements of the civil war in kansas which happily are not sanguinary if however the individual and more isolated cases of bloodshed could be described they would show a startling aggregate of barbarity and a loss of life for opinion's sake
libri_00273,several hundred free state men promptly responded to the summons,several hundred freestate men promptly responded to the summons
libri_00274,it was in fact the best weapon of its day,it was in fact the best weapon of its day
libri_00275,the leaders of the conspiracy became distrustful of their power to crush the town,the leaders of the conspiracy became distrustful of their power to crush the town
libri_00276,one of his militia generals suggested that the governor should require the outlaws at lawrence and elsewhere to surrender the sharps rifles another wrote asking him to call out the government troops at fort leavenworth,one of his militia generals suggested that the governor should require the outlaws at lawrence and elsewhere to surrender the sharp's rifles another wrote asking him to call out the government troops at fort levenworth
libri_00277,the governor on his part becoming doubtful of the legality of employing missouri militia to enforce kansas laws was also eager to secure the help of federal troops,the governor on his part becoming doubtful of the legality of employing missouri militia to enforce kansas laws was also eager to secure the help of federal troops
libri_00278,sheriff jones had his pockets always full of writs issued in the spirit of persecution but was often baffled by the sharp wits and ready resources of the free state people and sometimes defied outright,sheriff jones had his pockets always full of writs issued in the spirit of persecution but was often baffled by the sharp wits and ready resources of the free state people and sometimes defied outright
libri_00279,little by little however the latter became hemmed and bound in the meshes of the various devices and proceedings which the territorial officials evolved from the bogus laws,little by little however the latter became hymmed and bound in the meshes of the various devices and proceedings which the territorial officials evolved from the bogus laws
libri_00280,to embarrass this damaging exposure judge lecompte issued a writ against the ex governor on a frivolous charge of contempt,to embarrass this damaging exposure judge lecomte issued a writ against the ex governor on a frivolous charge of contempt
libri_00281,the incident was not violent nor even dramatic no posse was summoned no further effort made and reeder fearing personal violence soon fled in disguise,the incident was not violent nor even dramatic no posse was summoned no further effort made and reader fearing personal violence soon fled in disguise
libri_00282,but the affair was magnified as a crowning proof that the free state men were insurrectionists and outlaws,but the affair was magnified as a crowning proof that the free state men were insurrectionests and outlaws
libri_00283,from these again sprang barricaded and fortified dwellings camps and scouting parties finally culminating in roving guerrilla bands half partisan half predatory,from these again sprang barricaded and fortified dwellings camps and scout parties finally culminating in roving gorrilla bands half partisan half predatory
libri_00284,their distinctive characters however display one broad and unfailing difference,their distinctive characters however display one broad and unfailing difference
libri_00285,the free state men clung to their prairie towns and prairie ravines with all the obstinacy and courage of true defenders of their homes and firesides,the freestate men clung to their prairie towns and prairie rovines with all the obstinacy and courage of true defenders of their homes and firesides
libri_00286,their assumed character changed with their changing opportunities or necessities,their assumed character changed with their changing opportunities or necessities
libri_00287,in the shooting of sheriff jones in lawrence and in the refusal of ex governor beeder to allow the deputy marshal to arrest him they discovered grave offenses against the territorial and united states laws,in the shooting of sheriff jones in lawrence and in the refusal of ex governor reader to allow the deputy marsihal to arrest him they discovered grave offences against the territorial and th united states laws
libri_00288,footnote sumner to shannon may twelfth eighteen fifty six,footnote sumner to shannon may twelfth eighteen fifty six
libri_00289,private persons who had leased the free state hotel vainly besought the various authorities to prevent the destruction of their property,private persons who at least the free state hotel vainly besought the various authorities to present the destruction of their property
libri_00290,ten days were consumed in these negotiations but the spirit of vengeance refused to yield,ten days were consumed in these negotiations but the spirit of vengeance refused to yield
libri_00291,he summoned half a dozen citizens to join his posse who followed obeyed and assisted him,he summoned half a dozen citizens to join his posse who followed obeyed and assisted him
libri_00292,he continued his pretended search and to give color to his errand made two arrests,he continued his pretended search and to give color to his errand made to arrest
libri_00293,the free state hotel a stone building in dimensions fifty by seventy feet three stories high and handsomely furnished previously occupied only for lodging rooms on that day for the first time opened its table accommodations to the public and provided a free dinner in honor of the occasion,the free state hotel a stone building in dimensions fifty by seventy feet three stories high and handsomely furnished previously occupied only for lodging rooms on that day for the first time opened its table accommodations to the public and provided a free dinner in honor of the occasion
libri_00294,as he had promised to protect the hotel the reassured citizens began to laugh at their own fears,as he had promised to protect the hotel the reassured citizens began to laugh at their own fears
libri_00295,to their sorrow they were soon undeceived,to their sorrow they were soon undeceived
libri_00296,the military force partly rabble partly organized had meanwhile moved into the town,the military force partly rabble partly organized had meanwhile moved into the town
libri_00297,he planted a company before the hotel and demanded a surrender of the arms belonging to the free state military companies,he planted a company before the hotel and demanded a surrender of the arms belonging to the free state military companies
libri_00298,half an hour later turning a deaf ear to all remonstrance he gave the proprietors until five o'clock to remove their families and personal property from the free state hotel,half an hour later turning a deaf ear to all remonstrance he gave the proprietors until five o'clock to remove their families and personal property from the freestate hotel
libri_00299,atchison who had been haranguing the mob planted his two guns before the building and trained them upon it,atchetson who had been haranguing the mob planted his two guns before the building and trained them upon it
libri_00300,the inmates being removed at the appointed hour a few cannon balls were fired through the stone walls,the inmates being removed at the appointed hour a few cannon balls were fired through the stone walls
libri_00301,in this incident contrasting the creative and the destructive spirit of the factions the emigrant aid society of massachusetts finds its most honorable and triumphant vindication,in this incident contrasting the creative and the destructive spirit of the factions the emigrant aid society of massachusetts finds its most honorable and triumphant vindication
libri_00302,the whole proceeding was so childish the miserable plot so transparent the outrage so gross as to bring disgust to the better class of border ruffians who were witnesses and accessories,the whole proceeding was so childish the miserable plot so transparent the outrage so gross as to bring disgust to the better class of border ruffians who were witnesses and accessories
libri_00303,relocated footnote governor robinson being on his way east the steamboat on which he was traveling stopped at lexington missouri,relocated footnote governor robinson being on his way east the steamboat on which he was travelling stopped at lexington missouri
libri_00304,in a few days an officer came with a requisition from governor shannon and took the prisoner by land to westport and afterwards from there to kansas city and leavenworth,in a few days an officer came with a requisition from governor shannon and took the prisoner by land a westport and afterwards from there to kansa city in levenworth
libri_00305,here he was placed in the custody of captain martin of the kickapoo rangers who proved a kind jailer and materially assisted in protecting him from the dangerous intentions of the mob which at that time held leavenworth under a reign of terror,here he was placed in the custody of captain martin of the kickapoo rangers who proved a kind jailer and materially assisted in protecting him from the dangerous intentions of the mob which at that time held levenworth under the reign of terror
libri_00306,captain martin said i shall give you a pistol to help protect yourself if worse comes to worst,captain martin said i shall give you a pistol to help protect yourself if worst comes to worst
libri_00307,in the early morning of the next day may twenty ninth a company of dragoons with one empty saddle came down from the fort and while the pro slavery men still slept the prisoner and his escort were on their way across the prairies to lecompton in the charge of officers of the united states army,in the early morning of the next day may twenty ninth a company of dragoons with one empty saddle came down from the fort and while the proslavery men still slept the prisoner and his escort were on their way across the prairies to lecompten in the charge of officers of the united states army
libri_00308,it is a very fine old place of red brick softened by a pale powdery lichen which has dispersed itself with happy irregularity so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables the windows and the door place,it is a very fine old place of red brick softened by a pale powdery lichen which has dispersed itself with happy irregularity so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables the windows and the doorplace
libri_00309,but the windows are patched with wooden panes and the door i think is like the gate it is never opened,but the windows are patched with wooden panes and the door i think is like the gate it is never opened
libri_00310,for it is a solid heavy handsome door and must once have been in the habit of shutting with a sonorous bang behind a liveried lackey who had just seen his master and mistress off the grounds in a carriage and pair,for it is a solid heavy handsome door and must once have been in the habit of shutting with a sonorous bang behind the liveried lackey who had just seen his master and mistress off the grounds in a carriage and pair
libri_00311,a large open fireplace with rusty dogs in it and a bare boarded floor at the far end fleeces of wool stacked up in the middle of the floor some empty corn bags,a large open fireplace with rusty dogs in it and a bare boarded floor at the far end fleeces of wool stacked up in the middle of the floor some empty corn bags
libri_00312,and what through the left hand window,and wat t rough he left hand window
libri_00313,several clothes horses a pillion a spinning wheel and an old box wide open and stuffed full of coloured rags,several clothes horses a pillion a spinning wheel and an old box wide open and stuffed full of colored rags
libri_00314,at the edge of this box there lies a great wooden doll which so far as mutilation is concerned bears a strong resemblance to the finest greek sculpture and especially in the total loss of its nose,at the edge of this box there lies a great wooden doll which so far as mutilation is concerned bears a strong resemblance to the finest greek sculpture and especially in the total loss of its nose
libri_00315,the history of the house is plain now,the hestory house is plain now
libri_00316,but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and making sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cow shed and turning even the muddy water that is hurrying along the channel to the drain into a mirror for the yellow billed ducks who are seizing the opportunity of getting a drink with as much body in it as possible,but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and making sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cowshed and turning even the muddy water that is hurrying along the channel to the drain into a mirror for the yellow biled ducks who are seizing the opportunity of getting a drink with as much body in it as possible
libri_00317,for the great barn doors are thrown wide open and men are busy there mending the harness under the superintendence of mister goby the whittaw otherwise saddler who entertains them with the latest treddleston gossip,for the great barn doors are thrown wide open and men are busy there mending the harness under the superintendence of mister goby the whiddaw otherwise saddler who entertains them with the latest treddleston gossip
libri_00318,hetty sorrel often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished surfaces for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round pewter dishes that were ranged on the shelves above the long deal dinner table or in the hobs of the grate which always shone like jasper,hetty sorrel often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished services for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round pewter dishes that were ranged on the shelves above the long deal dinner table or in the hobs of the grate which always shone like jasper
libri_00319,do not suppose however that missus poyser was elderly or shrewish in her appearance she was a good looking woman not more than eight and thirty of fair complexion and sandy hair well shapen light footed,do not suppose however that missus poyser was elderly or shrewish in her appearance she was a good looking woman not more than eight and thirty of fair complexion and sandy hair well shapen light footed
libri_00320,the family likeness between her and her niece dinah morris with the contrast between her keenness and dinah's seraphic gentleness of expression might have served a painter as an excellent suggestion for a martha and mary,the family likeness between her and her niece dinah morris with the contrast between her keenness and dinah's seraphic gentleness of expression might have served a painter as an excellent suggestion for a martha and mary
libri_00321,her tongue was not less keen than her eye and whenever a damsel came within earshot seemed to take up an unfinished lecture as a barrel organ takes up a tune precisely at the point where it had left off,her tongue was not less keen than her eye and whenever a damsel came within ear shot seemed to take up an unfinished lecture as a barrel organ takes up a tune precisely at the point where it had left off
libri_00322,the fact that it was churning day was another reason why it was inconvenient to have the whittaws and why consequently missus poyser should scold molly the housemaid with unusual severity,the fact that it was churning day was another reason why it was inconvenient to have the widows and why consequently missus poyser should scold molly the housemaid with unusual severity
libri_00323,to all appearance molly had got through her after dinner work in an exemplary manner had cleaned herself with great dispatch and now came to ask submissively if she should sit down to her spinning till milking time,to all appearance molly had got through her after dinner work in an exemplary manner had cleaned herself with great dispatch and now came to ask submissively if she should sit down to her spinning till milting time
libri_00324,spinning indeed,spinning indeed
libri_00325,i never knew your equals for gallowsness,i never knew your equals for gallowsness
libri_00326,who taught you to scrub a floor i should like to know,who taught you to scrub a floor i should like to know
libri_00327,comb the wool for the whittaws indeed,comb the wool for the widaws indeed
libri_00328,that's what you'd like to be doing is it,that's what you'd like to be doing is it
libri_00329,that's the way with you that's the road you'd all like to go headlongs to ruin,that's the way with you that's the road you'd all like to go headlongs to ruin
libri_00330,mister ottley's indeed,mister oateley's indeed
libri_00331,you're a rare un for sitting down to your work a little while after it's time to put by,you are a raren for sitting down to your work a little while after it's time to put by
libri_00332,munny my iron's twite told pease put it down to warm,money miron's twite told please put it down to warm
libri_00333,cold is it my darling bless your sweet face,cold is it my darling bless your sweet face
libri_00334,she's going to put the ironing things away,she's going to put the ironing things away
libri_00335,munny i tould ike to do into de barn to tommy to see de whittawd,money i did like to do into the barn to tommy to see the whiddod
libri_00336,no no no totty ud get her feet wet said missus poyser carrying away her iron,no no no toddy ud get her feet wet said missus poyser carrying away her iron
libri_00337,did ever anybody see the like screamed missus poyser running towards the table when her eye had fallen on the blue stream,did ever anybody see the like screamed missus poyser running towards the table when her eye had fallen on the blue stream
libri_00338,totty however had descended from her chair with great swiftness and was already in retreat towards the dairy with a sort of waddling run and an amount of fat on the nape of her neck which made her look like the metamorphosis of a white suckling pig,toddy however had descended from her chair with great swiftness and was already in retreat towards the dairy with a sort of waddling run and an amount of fat on the nape of her neck which made her look like the metamorphosis of a white suckling pig
libri_00339,and she was very fond of you too aunt rachel,and she was very fond of you too aunt rachel
libri_00340,i often heard her talk of you in the same sort of way,i often heard her talk of you in the same sort of way
libri_00341,when she had that bad illness and i was only eleven years old she used to say you'll have a friend on earth in your aunt rachel if i'm taken from you for she has a kind heart and i'm sure i've found it so,when she had that bad illness and i was only eleven years old she used to say you'll have a friend on earth and your aunt rachel if i'm taken from you for she has a kind heart and i'm sure i've found it so
libri_00342,and there's linen in the house as i could well spare you for i've got lots o sheeting and table clothing and towelling as isn't made up,and there's linen in the house as i could well spare you for i got lots of sheeting and table clothing and towling as isn't made up
libri_00343,but not more than what's in the bible aunt said dinah,but not more than what's in the bible aunt said dinah
libri_00344,nay dear aunt you never heard me say that all people are called to forsake their work and their families,nay dear aunt you never heard me say that all people are called to forsake their work in their families
libri_00345,we can all be servants of god wherever our lot is cast but he gives us different sorts of work according as he fits us for it and calls us to it,we can all be servants of god wherever our lot is cast but he gives us different sorts of work according as he fits us for it and calls us to it
libri_00346,i can no more help spending my life in trying to do what i can for the souls of others than you could help running if you heard little totty crying at the other end of the house the voice would go to your heart you would think the dear child was in trouble or in danger and you couldn't rest without running to help her and comfort her,i can no more help spending my life in trying to do what i can for the souls of others than you could help running if you heard little todty crying at the other end of the house the voice would go to your heart you would think the dear child was in trouble or in danger and you couldn't rest without running to help her and comfort her
libri_00347,i've strong assurance that no evil will happen to you and my uncle and the children from anything i've done,i've strong assurance that no evil will happen to you and my uncle and the children from anything i've done
libri_00348,i didn't preach without direction,i didn't preach without direction
libri_00349,direction,directon
libri_00350,i hanna common patience with you,i an a common patience  ith you
libri_00351,by this time the two gentlemen had reached the palings and had got down from their horses it was plain they meant to come in,by this time the two gentlemen had reached the palings and had got down from their horses it was plain they meant to come in
libri_00352,said mister irwine with his stately cordiality,said mister irwine with his stately cordiality
libri_00353,oh sir don't mention it said missus poyser,oh sir don't mention it said missus poyser
libri_00354,i delight in your kitchen,i delight in your kitchen
libri_00355,poyser is not at home is he,poyser is not at home is he
libri_00356,said captain donnithorne seating himself where he could see along the short passage to the open dairy door,said captain donnythorne seating himself where he could see along the short passage to the open dairy door
libri_00357,no sir he isn't he's gone to rosseter to see mister west the factor about the wool,no sir he isn't he's gone to russeter to see mister west the factor about the wool
libri_00358,but there's father the barn sir if he'd be of any use,but there's father in the barn sir if he'd be of any use
libri_00359,no thank you i'll just look at the whelps and leave a message about them with your shepherd,no thank you i'll just look at the whelps and leave a message about them with your shepherd
libri_00360,i must come another day and see your husband i want to have a consultation with him about horses,i must come another day and see your husband i want to have a consultation with him about horses
libri_00361,for if he's anywhere on the farm we can send for him in a minute,for if he's anywhere on the farm we can send for him in a minute
libri_00362,oh sir said missus poyser rather alarmed you wouldn't like it at all,oh sir said missus poyser rather alarmed you wouldn't like it at all
libri_00363,but you know more about that than i do sir,but you know more about that than i do sir
libri_00364,i think i should be doing you a service to turn you out of such a place,i think i should be doing you a service to turn you out of such a place
libri_00365,i know his farm is in better order than any other within ten miles of us and as for the kitchen he added smiling i don't believe there's one in the kingdom to beat it,i know his farm is in better order than any other within ten miles of us and as for the kitchen he added smiling i don't believe there's one in the kingdom to beat it
libri_00366,by the by i've never seen your dairy i must see your dairy missus poyser,by the by i've never seen your dairy i must see your dairy missus poyser
libri_00367,this missus poyser said blushing and believing that the captain was really interested in her milk pans and would adjust his opinion of her to the appearance of her dairy,this missus poyser said blushing and believing that the captain was really interested in her milk pans and would adjust his opinion of her to the appearance of her dairy
libri_00368,oh i've no doubt it's in capital order,oh i've no doubt it's in capital order
libri_00369,and often has my mother said while on her lap i laid my head she feared for time i was not made but for eternity,and often as my mother said while on her lap i laid my head she feared for time i was not made but for eternity
libri_00370,why are we to be denied each other's society,why are we to be denied each other's society
libri_00371,why are we to be divided,why are we to be divided
libri_00372,surely it must be because we are in danger of loving each other too well of losing sight of the creator in idolatry of the creature,surely it must be because we are in danger of loving each other too well of losing sight of the creator in idolatry of the creature
libri_00373,we used to dispute about politics and religion,we used to dispute about politics and religion
libri_00374,she a tory and clergyman's daughter was always in a minority of one in our house of violent dissent and radicalism,she a torian clergyman's daughter was always in a minority of one in our house of violent discent and radicalism
libri_00375,her feeble health gave her her yielding manner for she could never oppose any one without gathering up all her strength for the struggle,her feeble health gave her her yielding manner for she could never oppose any one without gathering up all her strength for the struggle
libri_00376,he spoke french perfectly i have been told when need was but delighted usually in talking the broadest yorkshire,he spoke french perfectly i have been told when need was but delighted usually in talking the broadest yorkshire
libri_00377,and so life and death have dispersed the circle of violent radicals and dissenters into which twenty years ago the little quiet resolute clergyman's daughter was received and by whom she was truly loved and honoured,and so life and death have dispersed the circle of violent radicals and dissentrs into which twenty years ago the little quiet resolute clergyman's daughter was received and by whom she was truly loved and honoured
libri_00378,january and february of eighteen thirty seven had passed away and still there was no reply from southey,january and february of eighteen thirty seven had passed away and still there was no reply from southye
libri_00379,i am not depreciating it when i say that in these times it is not rare,i am not depreciating it when i say that in these times it is not rare
libri_00380,but it is not with a view to distinction that you should cultivate this talent if you consult your own happiness,but it is not with a view to distinction that you should cultivate this talent if you consult your own happiness
libri_00381,you will say that a woman has no need of such a caution there can be no peril in it for her,you will say that a woman has no need of such a caution there can be no peril in it for her
libri_00382,the more she is engaged in her proper duties the less leisure will she have for it even as an accomplishment and a recreation,the more she is engaged in her proper duties the less leisure will she have for it even as an accomplishment and a recreation
libri_00383,to those duties you have not yet been called and when you are you will be less eager for celebrity,to those duties you have not yet been called and when you are you will be less eager for celebrity
libri_00384,but do not suppose that i disparage the gift which you possess nor that i would discourage you from exercising it i only exhort you so to think of it and so to use it as to render it conducive to your own permanent good,but do not suppose that i disparage the gift which you possess nor that i would discourage you from exercising it i only exhort you so to think of it and so to use it as to render it conducive to your own permanent good
libri_00385,farewell madam,farewell madame
libri_00386,though i may be but an ungracious adviser you will allow me therefore to subscribe myself with the best wishes for your happiness here and hereafter your true friend robert southey,though i may be but an ungracious adviser you will allow me therefore to suscribe myself with the best wishes for your happiness hear and hereafter your true friend robert selthey
libri_00387,sir march sixteenth,sir march sixteenth
libri_00388,i had not ventured to hope for such a reply so considerate in its tone so noble in its spirit,i have not ventured to hope for such a reply so considerate in its tone so noble in its spirit
libri_00389,i know the first letter i wrote to you was all senseless trash from beginning to end but i am not altogether the idle dreaming being it would seem to denote,i know the first letter i wrote to you was all senseless trash from beginning to end but i am not altogether the idle dreaming being it would seem to denote
libri_00390,i thought it therefore my duty when i left school to become a governess,i thought it therefore my duty when i left school to become a governess
libri_00391,in the evenings i confess i do think but i never trouble any one else with my thoughts,in the evenings i confess i do think but i never trouble any one else with my thoughts
libri_00392,i carefully avoid any appearance of preoccupation and eccentricity which might lead those i live amongst to suspect the nature of my pursuits,i carefully avoid any appearance of preoccupation and eccentricity which might lead those i live amongst to suspect the nature of my pursuits
