clean_name,singer_id,technique,atlas_group,gt_lyrics,asr_hypothesis,wer,per
EN-Tenor-1__pharyngeal__control__0001,EN-Tenor-1,pharyngeal,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we,0.0,0.0
EN-Tenor-1__pharyngeal__control__0000,EN-Tenor-1,pharyngeal,control,<SP> i will leave <AP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word,0.0,0.0
EN-Tenor-1__pharyngeal__control__0007,EN-Tenor-1,pharyngeal,control,give me a memory i can use <AP>,give me a memory i can use,0.0,0.0
EN-Tenor-1__pharyngeal__control__0004,EN-Tenor-1,pharyngeal,control,<SP> all i ask <AP> is if <AP>,all i ask is easy,0.2,0.3
EN-Tenor-1__pharyngeal__control__0008,EN-Tenor-1,pharyngeal,control,take me by the hand while we do what lovers do <AP> it matters how this ends <SP>,take me by the hand while we do what lovers do it matters how this ends,0.0,0.0
EN-Tenor-1__pharyngeal__control__0003,EN-Tenor-1,pharyngeal,control,or scared of having <AP> nothing left look don't <AP> get me wrong i know <AP> there is no tomorrow <SP>,i'm scared of having nothing left look don't get me wrong i know there is no tomorrow,0.058823529411764705,0.037037037037037035
EN-Tenor-1__pharyngeal__control__0002,EN-Tenor-1,pharyngeal,control,just play pretend <AP> like we're not scared of what is coming next <AP>,just play pretend like we're not scared the world is coming next,0.16666666666666666,0.11363636363636363
EN-Tenor-1__pharyngeal__control__0005,EN-Tenor-1,pharyngeal,control,this is my last night with you <AP>,this is my last night with you,0.0,0.0
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0012,EN-Tenor-1,mixed_voice,control,what do i gotta do to get in your motherfuckin' heart <SP>,what do i gotta do to get in your mother fucking heart,0.18181818181818182,0.08333333333333333
EN-Tenor-1__mixed_voice__control__0013,EN-Tenor-1,mixed_voice,control,baby like ah woo <SP> ah <SP>,baby like i,0.6,0.36363636363636365
EN-Tenor-1__mixed_voice__control__0009,EN-Tenor-1,mixed_voice,control,must be love on the brain then you keep loving me <SP>,must be love on the brain baby keep on loving me,0.2727272727272727,0.21875
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0011,EN-Tenor-1,mixed_voice,control,got me like ah ah ah ow <SP> i'm tired of being played like a violin <SP>,got me like ah i tried to be in play like a violin,0.5333333333333333,0.2894736842105263
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0008,EN-Tenor-1,mixed_voice,control,no matter what i do i'm no good without you and i can't get enough <SP>,no matter what i do i'm no good without you and i can't get enough,0.0,0.0
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0014,EN-Tenor-1,mixed_voice,control,don't you stop loving me don't quit loving me just stop loving me,don't you stop loving me don't quit loving me just stop loving me,0.0,0.0
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0010,EN-Tenor-1,mixed_voice,control,just love me yeah <SP> just love me <SP> all you need to do is love me yeah <SP>,just love me just love me all you need to do is love me,0.125,0.1
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0009,EN-Tenor-1,mixed_voice,control,must be love on the brain then you keep loving me <SP>,must be love on the brain baby keep on loving me,0.2727272727272727,0.21875
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0011,EN-Tenor-1,mixed_voice,control,got me like ah ah ah ow <SP> i'm tired of being played like a violin <SP>,got me like ah i tried to be in play like a violin,0.5333333333333333,0.2894736842105263
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0008,EN-Tenor-1,mixed_voice,control,no matter what i do i'm no good without you and i can't get enough <SP>,no matter what i do i'm no good without you and i can't get enough,0.0,0.0
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0010,EN-Tenor-1,mixed_voice,control,just love me yeah <SP> just love me <SP> all you need to do is love me yeah <SP>,just love me just love me all you need to do is love me,0.125,0.1
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0012,EN-Tenor-1,mixed_voice,control,what do i gotta do to get in your motherfuckin' heart <SP>,what do i gotta do to get in your mother fucking heart,0.18181818181818182,0.08333333333333333
EN-Tenor-1__mixed_voice__control__0013,EN-Tenor-1,mixed_voice,control,baby like ah woo <SP> ah <SP>,baby like i,0.6,0.36363636363636365
EN-Tenor-1__mixed_voice__control__0009,EN-Tenor-1,mixed_voice,control,must be love on the brain then you keep loving me <SP>,must be love on the brain baby keep on loving me,0.2727272727272727,0.21875
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0011,EN-Tenor-1,mixed_voice,control,got me like ah ah ah ow <SP> i'm tired of being played like a violin <SP>,got me like ah i tried to be in play like a violin,0.5333333333333333,0.2894736842105263
EN-Tenor-1__mixed_voice__control__0015,EN-Tenor-1,mixed_voice,control,i'll always remember us this way,and always remember all these ways,0.6666666666666666,0.38095238095238093
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0008,EN-Tenor-1,mixed_voice,control,no matter what i do i'm no good without you and i can't get enough <SP>,no matter what i do i'm no good without you and i can't get enough,0.0,0.0
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0014,EN-Tenor-1,mixed_voice,control,don't you stop loving me don't quit loving me just stop loving me,don't you stop loving me don't quit loving me just stop loving me,0.0,0.0
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0010,EN-Tenor-1,mixed_voice,control,just love me yeah <SP> just love me <SP> all you need to do is love me yeah <SP>,just love me just love me all you need to do is love me,0.125,0.1
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0008,EN-Tenor-1,mixed_voice,control,no matter what i do i'm no good without you and i can't get enough <SP>,no matter what i do i'm no good without you and i can't get enough,0.0,0.0
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0008,EN-Tenor-1,mixed_voice,control,no matter what i do i'm no good without you and i can't get enough <SP>,no matter what i do i'm no good without you and i can't get enough,0.0,0.0
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0009,EN-Tenor-1,mixed_voice,control,must be love on the brain then you keep loving me <SP>,must be love on the brain baby keep on loving me,0.2727272727272727,0.21875
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0008,EN-Tenor-1,mixed_voice,control,no matter what i do i'm no good without you and i can't get enough <SP>,no matter what i do i'm no good without you and i can't get enough,0.0,0.0
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_voice__control__0004,EN-Tenor-1,mixed_voice,control,said i'll always be your friend took an oath i'm stick it out to the end <SP> now that it's raining more than ever know that we'll still have each other <AP>,said i'll always be your friend took an oath i'ma stick it out to the end now that's raining more than ever know that we still have each other,0.13333333333333333,0.08139534883720931
EN-Tenor-1__mixed_voice__control__0003,EN-Tenor-1,mixed_voice,control,because <SP> when the sun shines we'll shine together told you i'll be here forever <AP>,because when the sunshine we shine together told you i'll be here forever,0.21428571428571427,0.06382978723404255
EN-Tenor-1__mixed_voice__control__0002,EN-Tenor-1,mixed_voice,control,you can't see shiny cars <SP> and that's when you need me there <SP> with you i'll always share,you can see shiny cars and that's when you need me there with you i'll always share,0.058823529411764705,0.0196078431372549
EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,you can stand under my umbrella you can stand under my umbrella <SP> you can run into my arms it's okay don't be alarmed come in to me there's no distance in between <AP>,you can stand under my umbrella you can stand under my umbrella you can run into my arms it's okay don't be alarmed come into me there's no distant in between,0.09375,0.008928571428571428
EN-Tenor-1__mixed_voice__control__0006,EN-Tenor-1,mixed_voice,control,our love <AP> so go on let the rain pour i'll be all you need and more,our love's gonna let them rainbow i'll be all you need more,0.5,0.3076923076923077
EN-Tenor-1__mixed_voice__control__0001,EN-Tenor-1,mixed_voice,control,but you'll still be my star <AP> baby cause in the dark <AP>,but you'll still be my star baby 'cause in the dark,0.0,0.0
EN-Tenor-1__mixed_voice__control__0000,EN-Tenor-1,mixed_voice,control,<SP> you had my heart <AP> and we'll never be worlds apart <AP> maybe in magazines <AP>,you have my heart and we'll never be worlds apart maybe in magazines,0.07692307692307693,0.02127659574468085
EN-Tenor-1__mixed_voice__control__0007,EN-Tenor-1,mixed_voice,control,must be love on the brain yeah <SP> and it keeps cursing my name <SP>,must be love on the brain and it keeps cursing my name,0.07692307692307693,0.05263157894736842
